cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D speed) [m/s],GPS (3D speed) [m/s],fix,precision
3591.823529411766,2024-03-24T09:08:06.314Z,45.1366392,10.8013122,8.653884231488838,0.04,0.07,3,148
3650.7058823529424,2024-03-24T09:08:06.369Z,45.1366393,10.8013122,8.643884231488833,0.048,0.04,3,148
3709.588235294119,2024-03-24T09:08:06.424Z,45.1366392,10.8013123,8.646884231488833,0.076,0.05,3,148
3768.4705882352955,2024-03-24T09:08:06.479Z,45.1366392,10.8013124,8.660884231488836,0.074,0.08,3,148
3827.352941176472,2024-03-24T09:08:06.534Z,45.1366392,10.8013125,8.655884231488834,0.098,0.08,3,148
3886.2352941176487,2024-03-24T09:08:06.589Z,45.1366391,10.8013126,8.650884231488838,0.115,0.1,3,148
3945.1176470588252,2024-03-24T09:08:06.644Z,45.136639,10.8013125,8.653884231488838,0.135,0.12,3,148
4004,2024-03-24T09:08:06.699Z,45.1366389,10.8013124,8.655884231488834,0.2,0.14,3,148
4056.684210526316,2024-03-24T09:08:06.754Z,45.1366387,10.8013125,8.674884231488832,0.33,0.2,3,148
4109.368421052632,2024-03-24T09:08:06.809Z,45.1366387,10.8013124,8.694884231488835,0.251,0.33,3,148
4162.0526315789475,2024-03-24T09:08:06.864Z,45.1366388,10.8013123,8.717884231488831,0.193,0.25,3,148
4214.736842105263,2024-03-24T09:08:06.919Z,45.1366389,10.8013124,8.706884231488836,0.071,0.2,3,148
4267.421052631579,2024-03-24T09:08:06.974Z,45.136639,10.8013124,8.708884231488838,0.009,0.08,3,148
4320.105263157895,2024-03-24T09:08:07.029Z,45.1366391,10.8013124,8.712884231488836,0.062,0.03,3,148
4372.789473684211,2024-03-24T09:08:07.084Z,45.1366392,10.8013124,8.715884231488836,0.029,0.07,3,148
4425.473684210527,2024-03-24T09:08:07.139Z,45.1366391,10.8013125,8.713884231488834,0.019,0.04,3,148
4478.1578947368425,2024-03-24T09:08:07.194Z,45.136639,10.8013125,8.704884231488833,0.068,0.03,3,148
4530.842105263158,2024-03-24T09:08:07.249Z,45.1366391,10.8013126,8.721884231488836,0.066,0.07,3,148
4583.526315789474,2024-03-24T09:08:07.304Z,45.1366392,10.8013127,8.708884231488838,0.044,0.07,3,148
4636.21052631579,2024-03-24T09:08:07.359Z,45.1366392,10.8013128,8.712884231488836,0.041,0.05,3,148
4688.894736842106,2024-03-24T09:08:07.414Z,45.1366392,10.8013129,8.689884231488833,0.066,0.05,3,148
4741.578947368422,2024-03-24T09:08:07.469Z,45.1366391,10.8013129,8.691884231488835,0.072,0.07,3,148
4794.263157894738,2024-03-24T09:08:07.524Z,45.1366391,10.8013129,8.698884231488833,0.015,0.07,3,148
4846.947368421053,2024-03-24T09:08:07.579Z,45.1366392,10.8013129,8.694884231488835,0.009,0.02,3,148
4899.631578947369,2024-03-24T09:08:07.634Z,45.1366393,10.801313,8.689884231488833,0.078,0.02,3,148
4952.315789473685,2024-03-24T09:08:07.689Z,45.1366393,10.8013132,8.684884231488837,0.119,0.08,3,148
5005,2024-03-24T09:08:07.744Z,45.1366395,10.8013131,8.681884231488837,0.129,0.12,3,148
5057.684210526316,2024-03-24T09:08:07.799Z,45.1366395,10.8013131,8.684884231488837,0.062,0.13,3,148
5110.368421052632,2024-03-24T09:08:07.854Z,45.1366395,10.8013131,8.682884231488835,0.033,0.06,3,148
5163.0526315789475,2024-03-24T09:08:07.909Z,45.1366395,10.8013131,8.678884231488837,0.005,0.03,3,148
5215.736842105263,2024-03-24T09:08:07.964Z,45.1366394,10.8013131,8.701884231488833,0.074,0.01,3,148
5268.421052631579,2024-03-24T09:08:08.019Z,45.1366394,10.8013131,8.715884231488836,0.071,0.08,3,148
5321.105263157895,2024-03-24T09:08:08.074Z,45.1366395,10.801313,8.725884231488834,0.08,0.07,3,148
5373.789473684211,2024-03-24T09:08:08.129Z,45.1366396,10.8013131,8.731884231488834,0.051,0.08,3,148
5426.473684210527,2024-03-24T09:08:08.184Z,45.1366397,10.8013131,8.741884231488832,0.027,0.06,3,148
